202,203,204,206,208,209,210,211,212,213,214,216,217,220,221,223,302,303,306,307,308,310,311,312,314,315,316,317,318,319,320,324,402,403,404,405,406,407,411,412,413,414,416,419,420,421,423,424,501,503,505,506,508,509,510,512,513,514,516,518,520,521,522,524
-0.10352,-0.14943,0.09632,0.12486,-0.08372,-0.10893,-0.06091,0.15114,0.0236,-0.01132,0.03422,-0.01442,0.10815,0.04063,-0.105,-0.01605,-0.06322,-0.04772,0.08192,-0.06841,-0.14157,0.01482,0.00283,-0.02655,-0.03431,-0.01636,0.03567,-0.02614,-0.09579,-0.21569,-0.01953,-0.2079,-0.08566,-0.16141,0.20517,0.27897,0.05174,0.00442,0.25098,0.1968,-0.14955,-0.23382,0.19601,0.10473,-0.07813,0.05851,0.1516,0.18848,-0.16205,-0.14344,0.24196,0.2381,0.07018,0.0464,0.18549,0.12749,-0.00029,-0.1453,0.34975,0.16967,0.03161,0.08609,0.11845,0.16284
0.02365,0.02586,0.03957,0.04804,0.03465,0.00282,0.00924,0.07895,0.038,-0.01801,0.05781,0.02222,0.0337,0.00939,-0.03913,-0.00209,0.05114,-0.00017,0.02086,0.02895,0.0314,0.02537,0.10303,0.05786,0.0584,0.03411,0.01691,0.02601,0.05369,0.09384,0.05558,0.13249,0.03618,0.06152,0.36065,0.11585,0.04601,0.07244,0.12641,0.17977,0.0352,0.00169,0.05525,0.10068,0.11758,0.21534,0.09961,0.08784,-0.02279,-0.0656,0.22302,0.21336,0.10519,0.09424,0.08882,0.11357,-0.04478,-0.01789,0.34289,0.14542,-0.0163,0.0798,0.00228,0.07553
-0.01079,-0.10544,0.10534,0.07522,-0.03154,-0.00428,0.02314,-0.0229,-0.01498,-0.03705,-0.00768,0.02798,-0.04288,-0.09265,-0.09293,0.01218,0.07187,-0.00368,-0.01002,0.01901,-0.03368,0.01053,-0.01264,-0.05274,-0.01208,-0.08938,0.09918,0.06933,0.05394,-0.03095,-0.04656,0.05067,0.13664,0.06983,0.38774,0.3512,0.09567,0.25181,0.06034,0.11415,0.09378,0.01522,0.05035,0.1595,0.12442,0.24795,0.20354,0.24458,0.02993,0.26337,0.49,0.32646,0.34502,0.21134,0.14034,0.20027,0.20292,0.17091,0.58213,0.1755,0.04737,0.04679,0.15169,0.12658
-0.02396,-0.03673,0.00877,-0.03805,-0.06728,-0.07233,0.02844,0.02447,0.03424,-0.04932,-0.13585,-0.00768,0.06425,0.00174,-0.03584,-0.05963,-0.01237,-0.01269,0.04501,-0.00539,-0.0464,0.01458,0.02281,0.08126,-0.02476,-0.00182,0.0256,0.02947,0.01294,0.03544,-0.00184,0.0139,0.00114,-0.06466,0.39612,0.3789,0.12847,0.27251,0.17607,0.22595,-0.02051,-0.0384,0.36693,0.52309,0.2891,0.46861,0.09674,0.06655,-0.00495,-0.07509,0.29792,0.35222,0.43727,0.45555,0.12191,0.08949,-0.03699,-0.08916,0.3699,0.26305,0.18614,0.6197,0.30389,0.08786
-0.04827,-0.06733,-0.03004,-0.01854,0.03301,0.03066,0.01635,0.04199,0.03927,-0.03654,-0.04594,-0.02243,0.04716,0.0091,0.01016,0.02014,0.02686,0.04016,0.01094,0.00022,0.00377,0.02813,0.01618,0.03218,0.11479,0.13551,0.08728,0.02779,0.08812,0.05191,0.02654,0.03766,0.17976,0.20764,1.7184,1.33224,0.09085,1.90954,0.23633,0.28206,0.19747,0.21628,0.18176,1.96107,1.73185,1.501,0.41814,0.11015,0.16771,0.81981,1.41906,1.31212,1.65598,1.74234,0.27249,0.22316,0.93274,0.93186,1.467,1.56971,0.25335,1.42542,1.23131,0.29481
-0.25048,-0.16378,0.03857,0.0548,-0.03883,-0.1324,0.00448,0.11153,-0.06571,-0.17056,-0.04803,-0.10624,-0.05556,0.05143,0.0003,-0.01044,-0.01764,0.09775,0.03626,-0.01364,-0.11608,0.10237,-0.109,0.06444,0.10705,0.31729,0.34271,0.3412,0.12269,-0.10257,-0.03846,0.02262,0.83302,0.72452,0.75075,0.74731,0.5254,0.47785,0.71704,0.70483,0.9047,0.78323,0.93202,0.67335,0.52137,0.76637,0.67551,0.45705,0.68806,0.91823,0.82178,0.8457,0.48241,0.52819,0.70349,0.43817,0.86104,0.90432,0.86854,0.81491,0.3481,0.43438,0.59228,0.74647
-0.03151,-0.17438,-0.10271,-0.07391,-0.09342,-0.30729,0.04936,0.10102,0.0142,-0.03281,-0.07224,-0.23914,-0.15453,-0.32931,-0.298,-0.07912,0.03568,-0.13098,-0.1637,0.00254,-0.27549,-0.15939,0.00897,0.0003,-0.15732,0.11831,-0.01901,0.03248,0.04727,-0.38111,-0.2728,0.18161,-0.41935,-0.67059,-1.40561,-0.93023,-0.59582,-1.06495,-1.21903,-1.23868,-0.62778,-0.50041,-0.97284,-1.24756,-1.03883,-1.12365,-1.15053,-0.85965,-0.6871,-0.59374,-1.16567,-1.18991,-1.18447,-1.26817,-1.11715,-1.06725,-0.7501,-0.64062,-1.27681,-1.0606,-1.2588,-1.47173,-0.93566,-1.33418
-0.155,0.00646,0.04884,0.06787,0.03637,-0.03909,0.04432,0.15451,0.11595,0.00628,0.01364,0.04325,0.01513,-0.04051,-0.04318,0.17023,-0.06905,-0.14461,0.03407,-0.10209,-0.06195,-0.00474,0.08314,0.0839,-0.07816,-0.01226,-0.03819,0.029,0.03769,-0.06029,-0.04785,0.10203,-0.03471,-0.15994,-0.13938,-0.00255,0.02071,-0.28886,-0.01539,-0.03508,-0.12719,-0.0277,-0.10378,-0.31847,-0.22932,-0.15109,0.00934,0.07942,-0.04108,-0.01287,-0.00838,0.01342,-0.18446,-0.17945,0.0772,0.09111,0.01871,-0.01514,-0.10552,-0.01952,0.02207,-0.18481,0.07125,0.12947
-0.03779,-0.05631,0.16241,0.0976,-0.01136,0.02322,-0.10351,-0.14195,-0.00432,-0.01146,-0.04252,0.0397,-0.04311,-0.00352,-0.02518,0.00215,0.01816,0.01944,0.11781,0.06029,-0.00503,0.04589,-0.03233,0.06375,-0.02673,-0.00778,0.16649,0.15386,0.16544,-0.04512,0.1256,0.03453,-0.03573,-0.05368,1.02742,0.7231,0.46983,0.82695,0.30756,0.40516,0.041,-0.06648,0.5882,0.97273,0.64494,0.71904,0.35463,0.23617,-0.17787,-0.00004,0.96824,0.87683,0.91797,0.73746,0.27235,0.24902,-0.07791,-0.0431,1.11727,0.77397,0.17344,0.59245,0.26424,0.1671
